1000,""" """
1001,"""e"""
1010,"""t"""
1011,"""o"""
1100,"""i"""
1101,"""n"""
1110,"""a"""
1111,"""s"""
0000000,"""A"""
0000001,"""B"""
0000010,"""C"""
0000011,"""D"""
0000100,"""E"""
0000101,"""F"""
0000110,"""G"""
0000111,"""H"""
0001000,"""I"""
0001001,"""J"""
0001010,"""K"""
0001011,"""L"""
0001100,"""M"""
0001101,"""N"""
0001110,"""O"""
0001111,"""P"""
0010000,"""Q"""
0010001,"""R"""
0010010,"""S"""
0010011,"""T"""
0010100,"""U"""
0010101,"""V"""
0010110,"""W"""
0010111,"""X"""
0011000,"""Y"""
0011001,"""Z"""
0011010,"""b"""
0011011,"""c"""
0011100,"""d"""
0011101,"""f"""
0011110,"""g"""
0011111,"""h"""
0100000,"""j"""
0100001,"""k"""
0100010,"""l"""
0100011,"""m"""
0100100,"""p"""
0100101,"""q"""
0100110,"""r"""
0100111,"""u"""
0101000,"""v"""
0101001,"""w"""
0101010,"""x"""
0101011,"""y"""
0101100,"""z"""
0101101,"""the"""
0101110,"""and"""
0101111,"""of"""
0110000,"""to"""
0110001,"""in"""
0110010,"""is"""
0110011,"""you"""
0110100,"""not"""
0110101,"""it"""
0110110,"""he"""
0110111,"""was"""
0111000,"""for"""
0111001,"""\n"""
0111010,"""-"""
0111011,"""!"""
0111100,"""'"""
0111101,""""""""
0111110,""","""
0111111,"""."""
